,Code,First_name,Last_name,Team,Nation,Position,Rating
89,hemskal01,Ales,Hemsky,DAL,CS,RW,0.8144032450109522
90,higgich01,Chris,Higgins,VAN,US,LW,0.672288816558059
91,hjalmni01,Niklas,Hjalmarsson,ARI,SE,D,0.7927728480866036
92,horcosh01,Shawn,Horcoff,ANA,CA,C,0.7754860090915209
93,hossama01,Marian,Hossa,CHI,CS,RW,0.8411163107466328
94,hudleji01,Jiri,Hudler,DAL,CS,RW,0.7675084059543049
95,hunwima01,Matt,Hunwick,PIT,US,D,0.772327139660356
96,iginlja01,Jarome,Iginla,TOT,CA,RW,0.7899427008001262
97,jackmba01,Barret,Jackman,NSH,CA,D,0.6988705580625292
98,jagrja01,Jaromir,Jagr,CGY,CS,RW,0.8006008860601723
99,johnser01,Erik,Johnson,COL,US,D,0.8430366779139382
100,johnsja02,Jack,Johnson,CBJ,US,D,0.7867276220546029
101,jokinju01,Jussi,Jokinen,TOT,FI,C,0.7975475503956799
102,jonesda01,David,Jones,TOT,CA,RW,0.7472083892700382
103,kanepa01,Patrick,Kane,CHI,US,RW,0.9120965568567903
104,keithdu01,Duncan,Keith,CHI,CA,D,0.8509340568270346
105,kellych01,Chris,Kelly,ANA,CA,C,0.6685970648473215
106,kennety01,Tyler,Kennedy,NJD,CA,C,0.770105112798899
107,keslery01,Ryan,Kesler,ANA,US,C,0.8624067016617989
108,kesseph01,Phil,Kessel,PIT,US,RW,0.8895053349473983
109,kleinke01,Kevin,Klein,NYR,CA,D,0.795182954885657
110,koivumi01,Mikko,Koivu,MIN,FI,C,0.8757029967858555
111,kopitan01,Anze,Kopitar,LAK,SI,C,0.9250767456820123
112,krejcda01,David,Krejci,BOS,CS,C,0.8711822873659503
113,kronwni01,Niklas,Kronwall,DET,SE,D,0.7809024380180094
114,kunitch01,Chris,Kunitz,TBL,CA,LW,0.8060771202650632
115,laddan01,Andrew,Ladd,NYI,CA,LW,0.807678139052413
116,laichbr01,Brooks,Laich,LAK,CA,C,0.6832592664672607
117,lecavvi01,Vincent,Lecavalier,TOT,CA,C,0.7705751991943933
118,legwada01,David,Legwand,BUF,US,C,0.6830084707687489
119,letankr01,Kris,Letang,PIT,CA,D,0.9106237582644175
120,lilesjo01,John-Michael,Liles,BOS,US,D,0.758697167029766
121,littlbr01,Bryan,Little,WPG,CA,RW,0.8592922681571672
122,lucicmi01,Milan,Lucic,EDM,CA,LW,0.8451906095142074
123,lupuljo01,Joffrey,Lupul,TOR,CA,LW,0.7646280162191177
124,mackede01,Derek,MacKenzie,FLA,CA,C,0.7391242649689594
125,malkiev01,Evgeni,Malkin,PIT,RU,C,0.9248632775830734
126,markoan01,Andrei,Markov,MTL,RU,D,0.8646944707187125
127,marlepa01,Patrick,Marleau,TOR,CA,C,0.8442078138454115
128,martipa01,Paul,Martin,SJS,US,D,0.7685075601456407
129,matthsh01,Shawn,Matthias,WPG,CA,C,0.7353778957925312
130,mccleja01,Jay,McClement,CAR,CA,C,0.7050788871400373
131,mcleoco01,Cody,McLeod,TOT,CA,LW,0.673784772100451
132,methoma01,Marc,Methot,DAL,CA,D,0.7579979493199113
133,michami01,Milan,Michalek,TOT,CS,RW,0.7955682400629891
134,michazb01,Zbynek,Michalek,ARI,CS,D,0.7116725824998531
135,milledr01,Drew,Miller,DET,US,LW,0.7005136763923749
136,mitchto01,Torrey,Mitchell,TOT,CA,C,0.7472870199156771
