First_name,Last_name,Team,Nation,Position,Year,Gms,Rating
Nikita,Kucherov,TBL,RU,RW,2019,82,0.959976314
Connor,McDavid,EDM,CA,C,2019,78,0.958756043
Sidney,Crosby,PIT,CA,C,2019,79,0.952331934
Patrice,Bergeron,BOS,CA,C,2019,65,0.948457805
Aleksander,Barkov,FLA,FI,C,2019,82,0.944991921
Brad,Marchand,BOS,CA,LW,2019,79,0.942005062
Leon,Draisaitl,EDM,DE,C,2019,82,0.941839859
Patrick,Kane,CHI,US,RW,2019,81,0.939939648
Mark,Giordano,CGY,CA,D,2019,78,0.938225303
Taylor,Hall,NJD,CA,LW,2019,33,0.935793793
David,Pastrnak,BOS,CZ,RW,2019,66,0.935500836
Brent,Burns,SJS,CA,D,2019,82,0.934921027
Jonathan,Huberdeau,FLA,CA,C,2019,82,0.934392887
Nathan,MacKinnon,COL,CA,C,2019,82,0.934290106
Johnny,Gaudreau,CGY,US,LW,2019,82,0.93425641
Mikko,Rantanen,COL,FI,RW,2019,74,0.933745597
Steven,Stamkos,TBL,CA,C,2019,82,0.932239803
John,Tavares,TOR,CA,C,2019,82,0.931625432
Brayden,Point,TBL,CA,C,2019,79,0.930209822
Mitch,Marner,TOR,CA,C,2019,82,0.929477545
Mark,Stone,TOT,CA,RW,2019,77,0.928569383
Ryan,O'Reilly,STL,CA,C,2019,82,0.92829683
Sean,Couturier,PHI,US,C,2019,80,0.927685437
Kris,Letang,PIT,CA,D,2019,65,0.9270157
Alex,Ovechkin,WSH,RU,LW,2019,81,0.926679038
Blake,Wheeler,WPG,US,RW,2019,82,0.92667553
Dylan,Larkin,DET,US,C,2019,76,0.925695264
Erik,Karlsson,SJS,SE,D,2019,53,0.925619436
Sebastian,Aho,CAR,FI,RW,2019,82,0.925027559
Claude,Giroux,PHI,CA,C,2019,82,0.923587467
Auston,Matthews,TOR,US,C,2019,68,0.922652796
Tomas,Hertl,SJS,CZ,C,2019,77,0.92230686
Gabriel,Landeskog,COL,SE,LW,2019,73,0.92149116
Sean,Monahan,CGY,CA,C,2019,78,0.920639426
Elias,Lindholm,CGY,SE,C,2019,81,0.920294179
Jack,Eichel,BUF,US,C,2019,77,0.918100195
Matthew,Tkachuk,CGY,US,LW,2019,80,0.917768603
Alexander,Radulov,DAL,RU,RW,2019,70,0.915767317
