,Code,First_name,Last_name,Team,Nation,Position,Rating
89,bozakty01,Tyler,Bozak,TOR,CA,C,0.8385112430896794
90,brassde01,Derick,Brassard,TOT,CA,C,0.8426566967172198
91,brattje01,Jesper,Bratt,NJD,SE,LW,0.7857424848887924
92,braunju01,Justin,Braun,SJS,US,D,0.8129543073141715
93,brickco01,Connor,Brickley,FLA,US,C,0.7171699973772674
94,brodijo01,Jonas,Brodin,MIN,SE,D,0.7824017903709813
95,broditj01,T.J.,Brodie,CGY,CA,D,0.8353394627219868
96,brodzjo01,Jonny,Brodzinski,LAK,US,C,0.6736438408775965
97,brodzky01,Kyle,Brodziak,STL,CA,C,0.7685633342580099
98,brouwtr01,Troy,Brouwer,CGY,CA,RW,0.7810462261361837
99,brownco02,Connor,Brown,TOR,CA,RW,0.7667104524414083
100,browndu01,Dustin,Brown,LAK,US,RW,0.862322128921952
101,brownjt01,J.T.,Brown,TOT,US,RW,0.720238728538002
102,brownmi02,Mike,Brown,TOT,US,RW,0.6843629629685947
103,brownpa02,Patrick,Brown,CAR,US,C,0.611426494832178
104,buchnpa01,Pavel,Buchnevich,NYR,RU,LW,0.8116165605277527
105,burakan01,Andre,Burakovsky,WSH,AT,LW,0.7978443049644008
106,burmial01,Alexander,Burmistrov,VAN,RU,C,0.7182087358939075
107,burnsbr01,Brent,Burns,SJS,CA,D,0.9185401809076144
108,burroal01,Alexandre,Burrows,OTT,CA,LW,0.7384236875352481
109,butchwi01,Will,Butcher,NJD,US,D,0.8241787892435745
110,byfugdu01,Dustin,Byfuglien,WPG,US,D,0.893491333411463
111,byronpa01,Paul,Byron,MTL,CA,C,0.8157956041592858
112,caggidr01,Drake,Caggiula,EDM,CA,LW,0.7559669125146404
113,callary01,Ryan,Callahan,TBL,US,RW,0.7642840619735682
114,calvema01,Matt,Calvert,CBJ,CA,LW,0.7632852810974564
115,cammami01,Mike,Cammalleri,TOT,CA,C,0.8072076142021516
116,campbbr02,Brian,Campbell,CHI,CA,D,0.7670045531334424
117,campbgr01,Gregory,Campbell,CBJ,CA,LW,0.6713667627564378
118,careypa01,Paul,Carey,NYR,US,C,0.6903880969882571
119,carlema01,Matt,Carle,TBL,US,D,0.7261671774884217
120,carlobr01,Brandon,Carlo,BOS,US,D,0.7491746307076443
121,carlsga01,Gabriel,Carlsson,CBJ,SE,D,0.6972423331118898
122,carlsjo01,John,Carlson,WSH,US,D,0.8829344804493079
123,carpery01,Ryan,Carpenter,TOT,US,C,0.7721788462854551
124,carrda01,Daniel,Carr,MTL,CA,LW,0.7835322428458978
125,carrico01,Connor,Carrick,TOR,US,D,0.7385950198717193
126,carriwi01,William,Carrier,VEG,CA,LW,0.7322228918658942
127,carteje01,Jeff,Carter,LAK,CA,C,0.8906930815368141
128,cartery01,Ryan,Carter,MIN,US,LW,0.7053620265259619
129,catenda01,Daniel,Catenacci,BUF,CA,C,0.608198498178707
130,cecico01,Cody,Ceci,OTT,CA,D,0.7779175310259254
131,cehlape01,Peter,Cehlarik,BOS,SK,LW,0.7033035881106793
132,chaboth01,Thomas,Chabot,OTT,CA,D,0.7814229051489601
133,chapumi01,Michael,Chaput,VAN,CA,C,0.6872279937629996
134,charazd01,Zdeno,Chara,BOS,CS,D,0.8451824860198861
135,chiarbe01,Ben,Chiarot,WPG,CA,D,0.7406747245882117
136,chiasal01,Alex,Chiasson,WSH,CA,RW,0.7276391625899937
137,chimeja01,Jason,Chimera,TOT,CA,LW,0.7397879447561635
138,chipcky01,Kyle,Chipchura,ARI,CA,C,0.6986411975039647
139,chlapfi01,Filip,Chlapik,OTT,CZ,C,0.6888687338441453
140,chornta01,Taylor,Chorney,TOT,CA,D,0.7018287201286129
141,chychja01,Jakob,Chychrun,ARI,US,D,0.7684310094111202
142,cirelan01,Anthony,Cirelli,TBL,CA,C,0.8441636802003837
143,cizikca01,Casey,Cizikas,NYI,CA,C,0.7951670254983646
144,claesfr01,Fredrik,Claesson,OTT,SE,D,0.7459500653733879
145,clarkda03,David,Clarkson,CBJ,CA,RW,0.6761347768513728
146,clendad01,Adam,Clendening,NYR,US,D,0.7539332295181074
147,cliffky01,Kyle,Clifford,LAK,CA,LW,0.7441630540341874
148,cluneri01,Rich,Clune,TOR,CA,LW,0.7748647554652934
149,cluttca01,Cal,Clutterbuck,NYI,CA,RW,0.7720650525527498
150,coburbr01,Braydon,Coburn,TBL,CA,D,0.7445931163104963
151,coglian01,Andrew,Cogliano,ANA,CA,LW,0.8152581828558073
152,colaica01,Carlo,Colaiacovo,BUF,CA,D,0.6926088326593747
153,colbojo01,Joe,Colborne,COL,CA,C,0.7310443836955097
154,coleia01,Ian,Cole,TOT,US,D,0.7955670585538543
155,colembl01,Blake,Coleman,NJD,US,C,0.7661110280849098
156,comeabl01,Blake,Comeau,COL,CA,RW,0.8009914258909339
157,comphj,J.T.,Compher,COL,US,LW,0.756010943532076
158,conacco01,Cory,Conacher,TBL,CA,LW,0.7520841998318892
159,condrer01,Erik,Condra,TBL,US,RW,0.6662681976348132
160,connake01,Kevin,Connauton,ARI,CA,D,0.7303905931334281
161,connobr01,Brett,Connolly,WSH,CA,RW,0.7580769942712772
162,connoky01,Kyle,Connor,WPG,US,LW,0.7892755152820111
163,coppan01,Andrew,Copp,WPG,US,C,0.7671662743703382
164,corrafr01,Frank,Corrado,TOR,CA,D,0.7131858127611492
165,cousini01,Nick,Cousins,ARI,CA,C,0.7598431968713542
166,coutulo01,Logan,Couture,SJS,CA,C,0.8749776382760608
167,coutuse01,Sean,Couturier,PHI,US,C,0.8964599159016341
168,cowenja01,Jared,Cowen,OTT,CA,D,0.7205855593825333
169,coylech01,Charlie,Coyle,MIN,US,C,0.8414290317064429
170,crackad01,Adam,Cracknell,DAL,CA,RW,0.7295777943985157
