First_name,Last_name,Team,Nation,Position,Rating
Erik,Gustafsson,CHI,SE,D,0.859697008
Nazem,Kadri,TOR,CA,C,0.859091358
Anthony,Mantha,DET,CA,RW,0.858898496
Anders,Lee,NYI,US,C,0.858358809
Kyle,Palmieri,NJD,US,RW,0.858279757
Sam,Reinhart,BUF,CA,C,0.85824226
Jake,Muzzin,TOT,CA,D,0.857954611
Alex,Tuch,VEG,US,RW,0.85729259
Nino,Niederreiter,TOT,CH,RW,0.857268819
Kevin,Hayes,TOT,US,RW,0.856995468
J.T.,Miller,TBL,US,C,0.855704709
Timo,Meier,SJS,CH,RW,0.855003071
Mattias,Ekholm,NSH,SE,D,0.854134901
Josh,Bailey,NYI,CA,C,0.85392095
Oliver,Ekman-Larsson,ARI,SE,D,0.853104259
Nikolaj,Ehlers,WPG,DK,LW,0.852843902
Tomas,Tatar,MTL,CS,C,0.852071065
Yanni,Gourde,TBL,CA,C,0.851985716
Jaccob,Slavin,CAR,US,D,0.851929766
Thomas,Chabot,OTT,CA,D,0.851593395
Gustav,Nyquist,TOT,SE,RW,0.851229175
Pierre-Luc,Dubois,CBJ,CA,LW,0.850585573
Max,Domi,MTL,CA,LW,0.849573316
Jakob,Silfverberg,ANA,SE,LW,0.849465902
Justin,Faulk,CAR,US,D,0.847498375
Travis,Zajac,NJD,CA,C,0.84717393
James,van Riemsdyk,PHI,US,LW,0.84702778
Zach,Werenski,CBJ,US,D,0.847004324
Patrik,Laine,WPG,FI,RW,0.846884526
Andrew,Shaw,MTL,CA,C,0.846591839
Erik,Haula,VEG,FI,LW,0.84617767
Nico,Hischier,NJD,CH,C,0.846106391
Mike,Green,DET,CA,D,0.8453051
Jake,Gardiner,TOR,US,D,0.845168031
Anthony,Cirelli,TBL,CA,C,0.8442193
Jeff,Carter,LAK,CA,C,0.843393278
Jonathan,Drouin,MTL,CA,LW,0.843249403
Hampus,Lindholm,ANA,SE,D,0.843240559
William,Nylander,TOR,CA,C,0.842611404
Derek,Stepan,ARI,US,C,0.841956982
Rasmus,Dahlin,BUF,SE,D,0.841561968
Nick,Foligno,CBJ,US,LW,0.841395217
Colton,Parayko,STL,CA,D,0.840929079
Ryan,Pulock,NYI,CA,D,0.840710201
Boone,Jenner,CBJ,CA,C,0.839659082
Shayne,Gostisbehere,PHI,US,D,0.839033166
Alex,Steen,STL,CA,C,0.838623673
Adam,Lowry,WPG,US,LW,0.838566702
Ondrej,Kase,ANA,CZ,RW,0.838404217
Tyler,Bertuzzi,DET,CA,LW,0.838251224
Nate,Schmidt,VEG,US,D,0.838062669
Andreas,Johnsson,TOR,SE,LW,0.837758777
Jake,Debrusk,BOS,CA,LW,0.837681138
Marian,Hossa,CHI,CS,RW,0.836462728
Ondrej,Palat,TBL,CS,LW,0.836159184
Tyler,Bozak,STL,CA,C,0.835236604
Tyler,Johnson,TBL,US,C,0.834762813
Josh,Anderson,CBJ,CA,RW,0.833459824
Brandon,Saad,CHI,US,LW,0.833197201
Paul,Byron,MTL,CA,C,0.833090758
Colin,Miller,VEG,CA,D,0.833087696
Brett,Pesce,CAR,US,D,0.832933166
Tom,Wilson,WSH,CA,RW,0.832840369
Michael,Frolik,CGY,CS,LW,0.832835108
Andrei,Svechnikov,CAR,RU,RW,0.832762141
Bryan,Rust,PIT,US,RW,0.832611613
Oscar,Klefbom,EDM,SE,D,0.832524377
Josh,Morrissey,WPG,CA,D,0.831650053
Jordan,Eberle,NYI,CA,RW,0.831501827
David,Backes,BOS,US,C,0.830638931
Kyle,Connor,WPG,US,LW,0.830434104
Clayton,Keller,ARI,US,C,0.830404412
T.J.,Brodie,CGY,CA,D,0.830338934
Alex,Killorn,TBL,CA,C,0.830227403
Filip,Hronek,DET,CZ,D,0.829978972
Duncan,Keith,CHI,CA,D,0.829592161
Mathieu,Perreault,WPG,CA,C,0.828493577
Richard,Panik,ARI,CS,RW,0.827655372
Adam,Henrique,ANA,CA,C,0.827628472
Shea,Theodore,VEG,CA,D,0.827050415
Bryan,Little,WPG,CA,RW,0.826798788
Zach,Hyman,TOR,CA,C,0.826536141
Aaron,Ekblad,FLA,CA,D,0.826225901
Darnell,Nurse,EDM,CA,D,0.825968178
Charlie,Coyle,TOT,US,C,0.825776985
Zdeno,Chara,BOS,CS,D,0.825425046
Kevin,Labanc,SJS,US,RW,0.824453001
Danton,Heinen,BOS,CA,C,0.824319722
Ivan,Provorov,PHI,RU,D,0.824271375
Justin,Schultz,PIT,CA,D,0.823590348
Derek,Ryan,CGY,US,C,0.823136171
Erik,Johnson,COL,US,D,0.822471475
Micheal,Ferland,CAR,CA,LW,0.822164833
Matt,Niskanen,WSH,US,D,0.82202204
Ryan,Dzingel,TOT,US,C,0.821966578
Cam,Fowler,ANA,CA,D,0.821284736
Tyler,Toffoli,LAK,CA,C,0.821270193
Alex,Goligoski,ARI,US,D,0.819888692
Zach,Aston-Reese,PIT,US,C,0.819845956
Pavel,Buchnevich,NYR,RU,LW,0.819743586
Patrick,Maroon,STL,US,LW,0.819309449
Zach,Redmond,MTL,US,D,0.819193132
Travis,Konecny,PHI,CA,C,0.818941615
Jesper,Bratt,NJD,SE,LW,0.818601064
Alex,Galchenyuk,ARI,US,C,0.81852777
Wayne,Simmonds,TOT,CA,RW,0.818312997
Dmitry,Orlov,WSH,RU,D,0.818252114
Vinnie,Hinostroza,ARI,US,C,0.817970782
Tyler,Myers,WPG,US,D,0.817850737
Craig,Smith,NSH,US,C,0.816896679
Kevin,Shattenkirk,NYR,US,D,0.816836248
Carl,Soderberg,COL,SE,C,0.816702054
Marcus,Johansson,TOT,SE,C,0.816608166
Daniel,Sedin,VAN,SE,LW,0.81641783
Brock,Nelson,NYI,US,C,0.816398491
Patrick,Marleau,TOR,CA,C,0.815980292
Bobby,Ryan,OTT,US,LW,0.815381855
Noah,Hanifin,CGY,US,D,0.814511543
Nick,Schmaltz,TOT,US,C,0.814330347
Erik,Cernak,TBL,SK,D,0.814286995
Karson,Kuhlman,BOS,US,C,0.814204586
Esa,Lindell,DAL,FI,D,0.813681805
Carl,Grundstrom,LAK,SE,RW,0.813059037
Josh,Manson,ANA,US,D,0.812960377
Casey,Cizikas,NYI,CA,C,0.812737066
Alexander,Kerfoot,COL,CA,C,0.81264501
Radko,Gudas,PHI,CS,D,0.812441837
Dylan,Strome,TOT,CA,C,0.8122693
Ryan,Donato,TOT,US,C,0.811918329
Alec,Martinez,LAK,US,D,0.811596469
Neal,Pionk,NYR,US,D,0.811548148
Marc-Edouard,Vlasic,SJS,CA,D,0.811467596
Miro,Heiskanen,DAL,FI,D,0.811450439
Mikhail,Sergachev,TBL,RU,D,0.811220087
Radek,Faksa,DAL,CZ,C,0.81112218
Sami,Vatanen,NJD,FI,D,0.810909371
Andreas,Athanasiou,DET,CA,C,0.810724199
Ryan,Murray,CBJ,CA,D,0.810590612
Rick,Nash,TOT,CA,LW,0.810196372
Antoine,Roussel,VAN,FR,LW,0.810147755
Henrik,Sedin,VAN,SE,C,0.809384979
Chris,Tierney,OTT,CA,C,0.808182115
Kyle,Turris,NSH,CA,C,0.807441199
Kasperi,Kapanen,TOR,FI,RW,0.807308466
Martin,Hanzal,DAL,CS,C,0.806550743
Brandon,Montour,TOT,CA,D,0.806257245
Nick,Ritchie,ANA,CA,LW,0.806017949
Adam,Larsson,EDM,SE,D,0.805996748
Brandon,Pirri,VEG,CA,C,0.804781983
Thomas,Vanek,DET,AT,LW,0.804672637
Joonas,Donskoi,SJS,FI,RW,0.804527539
Frans,Nielsen,DET,DK,C,0.804495323
Nick,Leddy,NYI,US,D,0.804477999
Vladislav,Namestnikov,NYR,RU,C,0.804469094
Damon,Severson,NJD,CA,D,0.804413545
Brad,Richardson,ARI,CA,C,0.804359005
Nick,Bonino,NSH,US,C,0.803569912
Alexander,Wennberg,CBJ,SE,C,0.803370543
Blake,Coleman,NJD,US,C,0.803158857
Ales,Hemsky,DAL,CS,RW,0.803089841
Oliver,Bjorkstrand,CBJ,DK,RW,0.803012649
Tomas,Plekanec,TOT,CS,C,0.803008071
Will,Butcher,NJD,US,D,0.802942231
Nick,Bjugstad,TOT,US,C,0.802801173
Colton,Sissons,NSH,CA,C,0.802402926
Milan,Lucic,EDM,CA,LW,0.802401883
David,Savard,CBJ,CA,D,0.802314494
Brian,Dumoulin,PIT,US,D,0.802019696
Calvin,de Haan,CAR,CA,D,0.801749663
Tanner,Pearson,TOT,CA,LW,0.801716317
Brent,Seabrook,CHI,CA,D,0.801045012
Derek,Dorsett,VAN,CA,RW,0.800870624
Lars,Eller,WSH,DK,C,0.800760432
Nick,Holden,VEG,CA,D,0.800647216
Kyle,Okposo,BUF,US,RW,0.800431598
Joel,Armia,MTL,FI,RW,0.800279928
Sven,Baertschi,VAN,CH,LW,0.800139505
Brenden,Dillon,SJS,CA,D,0.799943431
Michael,Grabner,ARI,AT,RW,0.799696757
Vince,Dunn,STL,CA,D,0.799477984
Jesperi,Kotkaniemi,MTL,FI,C,0.799425723
Brady,Skjei,NYR,US,D,0.799402628
Corey,Perry,ANA,CA,RW,0.799034667
Roope,Hintz,DAL,FI,LW,0.799028045
Sam,Gagner,TOT,CA,C,0.79848805
Mike,Matheson,FLA,CA,D,0.798076442
Dominik,Simon,PIT,CZ,C,0.797923994
Jason,Pominville,BUF,CA,RW,0.797293869
Jean-Gabriel,Pageau,OTT,CA,C,0.797244549
Artturi,Lehkonen,MTL,FI,LW,0.796881971
Ian,Cole,COL,US,D,0.79663187
Anton,Stralman,TBL,SE,D,0.796341056
Derick,Brassard,TOT,CA,C,0.796217176
Luca,Sbisa,VEG,IT,D,0.795421853
Ilya,Kovalchuk,LAK,RU,LW,0.795327955
Brayden,McNabb,VEG,CA,D,0.795048274
Kenny,Agostino,TOT,US,LW,0.795002274
Danny,DeKeyser,DET,US,D,0.794037712
Jonas,Brodin,MIN,SE,D,0.793681728
Robert,Thomas,STL,CA,C,0.793431862
Devon,Toews,NYI,CA,D,0.792611278
Austin,Watson,NSH,US,LW,0.792520578
Kevin,Fiala,TOT,CH,LW,0.792516996
Frank,Vatrano,FLA,US,LW,0.792458659
Mark,Streit,TOT,CH,D,0.792195057
Patrik,Berglund,BUF,SE,C,0.792017926
Brian,Gionta,BOS,US,RW,0.791936932
Artem,Anisimov,CHI,RU,C,0.791562876
Alex,Iafallo,LAK,US,C,0.791450218
Brandon,Dubinsky,CBJ,US,C,0.791362607
Jakob,Chychrun,ARI,US,D,0.791198265
Justin,Braun,SJS,US,D,0.79118993
Conor,Sheary,BUF,US,LW,0.790918431
James,Neal,CGY,CA,LW,0.790618445
Oskar,Lindblom,PHI,SE,LW,0.790534084
Scott,Hartnell,NSH,CA,LW,0.79051515
Cal,Clutterbuck,NYI,CA,RW,0.790272664
Cody,Ceci,OTT,CA,D,0.790228023
Carl,Hagelin,TOT,SE,LW,0.790021936
Clayton,Stoner,ANA,CA,D,0.789863929
Mike,Cammalleri,TOT,CA,C,0.788913002
Calle,Jarnkrok,NSH,SE,C,0.7888825
Tomas,Hyka,VEG,CZ,RW,0.788717325
Zack,Smith,OTT,CA,C,0.788550501
Cody,Eakin,VEG,CA,C,0.787972572
Michael,Del Zotto,TOT,CA,D,0.78789486
Andrew,Copp,WPG,US,C,0.787728951
Teddy,Blueger,PIT,LV,C,0.787686903
Blake,Comeau,DAL,CA,RW,0.787298793
J.T.,Compher,COL,US,LW,0.78719019
Marcus,Foligno,MIN,US,LW,0.787162827
Jordan,Martinook,CAR,CA,LW,0.787152806
Trevor,Lewis,LAK,US,C,0.786915626
Brett,Connolly,WSH,CA,RW,0.786801339
Adam,Pelech,NYI,CA,D,0.786687222
Jesper,Fast,NYR,SE,RW,0.786649256
Colin,White,OTT,US,C,0.786381636
Mike,Fisher,NSH,CA,C,0.785967707
Brandon,Tanev,WPG,CA,LW,0.785907568
Ron,Hainsey,TOR,US,D,0.785813953
Andrew,Ladd,NYI,CA,LW,0.785489919
Christian,Wolanin,OTT,CA,D,0.785226652
Cody,Franson,CHI,CA,D,0.784987306
Loui,Eriksson,VAN,SE,LW,0.784934805
Christopher,Didomenico,OTT,CA,C,0.784715746
Mathieu,Joseph,TBL,CA,RW,0.784640386
Johnny,Boychuk,NYI,CA,D,0.78427908
Kevan,Miller,BOS,US,D,0.78416597
Jordan,Weal,TOT,CA,C,0.78335774
Joshua,Ho-Sang,NYI,CA,C,0.783025249
Travis,Hamonic,CGY,CA,D,0.782996832
