First_name,Last_name,Team,Nation,Position,Rating
Patrik,Nemeth,COL,SE,D,0.755866691
Oscar,Lindberg,TOT,SE,C,0.75579159
Chris,Wagner,BOS,US,C,0.75543134
Patrick,Sharp,CHI,CA,LW,0.755291584
Brett,Kulak,MTL,CA,D,0.755171273
Ty,Rattie,EDM,CA,RW,0.75498799
Kris,Versteeg,CGY,CA,RW,0.754924596
MacKenzie,Weegar,FLA,CA,D,0.754905406
Anthony,Duclair,TOT,CA,LW,0.754628098
Tyler,Ennis,TOR,CA,C,0.754624454
Marcus,Sorensen,SJS,SE,RW,0.754566367
Troy,Terry,ANA,US,C,0.754547536
Jamie,McGinn,FLA,CA,LW,0.754208204
Denis,Malgin,FLA,CH,C,0.754149124
Ryan,Reaves,VEG,CA,RW,0.754112473
Rudolfs,Balcers,OTT,LV,LW,0.754104929
Markus,Nutivaara,CBJ,FI,D,0.754002355
Tyson,Jost,COL,CA,C,0.75304858
Taylor,Fedun,DAL,CA,D,0.752708724
Michael,Bournival,TBL,CA,LW,0.75252183
Robert,Bortuzzo,STL,CA,D,0.752475169
Riley,Sheahan,TOT,CA,C,0.752387108
Lawrence,Pilut,BUF,SE,D,0.752293948
Jayce,Hawryluk,FLA,CA,C,0.752259927
Christian,Folin,TOT,SE,D,0.752199213
Jack,Roslovic,WPG,US,C,0.752170361
Cory,Conacher,TBL,CA,LW,0.7520842
Karl,Alzner,MTL,CA,D,0.751995347
Marcus,Pettersson,TOT,SE,D,0.751917163
Eric,Fehr,MIN,CA,RW,0.751453136
Jay,Beagle,VAN,CA,RW,0.75134185
Mirco,Mueller,NJD,CH,D,0.751220421
Nic,Dowd,WSH,US,C,0.750973168
Martin,Marincin,TOR,CS,D,0.750744299
Connor,Carrick,TOT,US,D,0.750513427
Dominic,Moore,TOR,CA,C,0.750312581
Anton,Lander,EDM,SE,C,0.750216388
Eric,Gryba,EDM,CA,D,0.74989954
Dennis,Seidenberg,NYI,DE,D,0.749680078
Tomas,Nosek,VEG,CS,C,0.749014931
Brooks,Orpik,WSH,US,D,0.748953524
Dion,Phaneuf,LAK,CA,D,0.748194039
Marc,Methot,DAL,CA,D,0.748176882
Jean-Sebastien,Dea,TOT,CA,C,0.747967926
Garnet,Hathaway,CGY,US,RW,0.747915667
Robby,Fabbri,STL,CA,C,0.747051714
Andrej,Sekera,EDM,CS,D,0.746945894
Daniel,Winnik,MIN,CA,C,0.746898301
Nathan,Beaulieu,TOT,CA,D,0.746882484
Marco,Scandella,BUF,CA,D,0.746866563
Jordan,Greenway,MIN,US,LW,0.746789613
Daniel,Sprong,TOT,NL,RW,0.746618455
Ben,Lovejoy,TOT,US,D,0.746404865
Pierre-Edouard,Bellemare,VEG,FR,LW,0.74632667
Ben,Hutton,VAN,CA,D,0.745971646
Brian,Gibbons,TOT,US,C,0.745875283
Connor,Clifton,BOS,US,D,0.745668814
Kyle,Brodziak,EDM,CA,C,0.745352196
Josh,Currie,EDM,CA,RW,0.745341134
Matt,Cullen,PIT,US,C,0.745333803
Joel,Ward,SJS,CA,RW,0.745083994
Zachary,Sanford,STL,US,LW,0.745016295
Ryan,White,TOT,CA,C,0.744767205
Travis,Boyd,WSH,US,C,0.74449645
Michael,Raffl,PHI,AT,LW,0.74422706
Alexei,Emelin,NSH,RU,D,0.744202276
Rocco,Grimaldi,NSH,US,C,0.744008737
Cedric,Paquette,TBL,CA,C,0.743703116
Brett,Howden,NYR,CA,C,0.743651775
Steven,Oleksy,PIT,US,D,0.742713184
Carl,Dahlstrom,CHI,SE,D,0.742664749
Duncan,Siemens,COL,CA,D,0.742340252
Jakub,Jerabek,TOT,CS,D,0.742262146
Henrik,Borgstrom,FLA,FI,C,0.742204561
Brendan,Perlini,TOT,GB,LW,0.742145662
Adam,Erne,TBL,US,LW,0.741972093
Victor,Rask,TOT,SE,C,0.741523191
Marcus,Kruger,CHI,SE,C,0.741489941
Derek,Grant,TOT,CA,C,0.741384338
Kevin,Rooney,NJD,US,C,0.741178144
Ryan,Spooner,TOT,CA,C,0.740981887
Dan,Hamhuis,NSH,CA,D,0.740936001
Jonas,Siegenthaler,WSH,CH,D,0.740839637
Toby,Enstrom,WPG,SE,D,0.740804528
Xavier,Ouellet,MTL,FR,D,0.740670194
Rasmus,Andersson,CGY,SE,D,0.740665296
Charles,Hudon,MTL,CA,LW,0.74062935
Fedor,Tyutin,COL,RU,D,0.74049367
Alexey,Marchenko,TOT,RU,D,0.740486208
Lawson,Crouse,ARI,CA,LW,0.740387145
Fredrik,Claesson,NYR,SE,D,0.740002146
Vladimir,Sobotka,BUF,CS,C,0.739760678
Magnus,Paajarvi,OTT,SE,LW,0.739326519
Melker,Karlsson,SJS,SE,C,0.739163734
Johnny,Oduya,TOT,SE,D,0.739145129
Alexandre,Fortin,CHI,CA,LW,0.739111737
Alexandre,Burrows,OTT,CA,LW,0.738202028
Andreas,Borgman,TOR,SE,D,0.738111501
David,Desharnais,NYR,CA,C,0.738110182
Pontus,Aberg,TOT,SE,LW,0.737477677
Viktor,Stalberg,TOT,SE,LW,0.737319105
Steven,Santini,NJD,US,D,0.73727931
Michael,Rasmussen,DET,CA,C,0.73706715
Chad,Ruhwedel,PIT,US,D,0.737066316
Par,Lindholm,TOT,SE,C,0.736682564
Boo,Nieves,NYR,US,C,0.736507786
Joakim,Ryan,SJS,US,D,0.736417206
Peter,Cehlarik,BOS,SK,LW,0.736303835
Scott,Wilson,BUF,CA,C,0.736296648
Dennis,Cholowski,DET,CA,D,0.736141941
Tobias,Rieder,EDM,DE,C,0.736067489
Jordan,Nolan,STL,CA,C,0.735830932
Antti,Suomela,SJS,FI,C,0.735714518
Michael,Dal Colle,NYI,CA,LW,0.735351515
Lance,Bouma,CHI,CA,C,0.735300318
Kevin,Connauton,ARI,CA,D,0.73523049
Dylan,Sikura,CHI,CA,C,0.735192276
Gustav,Olofsson,MIN,SE,D,0.734956021
Matt,Irwin,NSH,CA,D,0.734660677
Brian,Campbell,CHI,CA,D,0.734167804
Adam,McQuaid,TOT,CA,D,0.734134225
Brandon,Manning,TOT,CA,D,0.73394035
Ryan,Graves,COL,CA,D,0.733631972
Rene,Bourque,COL,CA,RW,0.733328108
Byron,Froese,MTL,CA,C,0.733307334
Andrej,Nestrasil,CAR,CS,RW,0.733208616
Mikhail,Grigorenko,COL,RU,C,0.732962195
Evgeny,Svechnikov,DET,RU,LW,0.732953213
Anton,Slepyshev,EDM,RU,LW,0.732832836
Connor,Brickley,NYR,US,C,0.732756583
Ross,Johnston,NYI,CA,LW,0.732526969
Victor,Mete,MTL,CA,D,0.732322604
Warren,Foegele,CAR,CA,LW,0.732303625
Brendan,Smith,NYR,CA,D,0.73187731
Maxime,Lajoie,OTT,CA,D,0.731362665
Filip,Chytil,NYR,CZ,C,0.731166274
Julian,Melchiori,WPG,CA,D,0.730988223
Jason,Dickinson,DAL,CA,C,0.730972313
Dryden,Hunt,FLA,CA,LW,0.7308024
Alexander,Petrovic,TOT,CA,D,0.730614996
Tyler,Motte,VAN,US,C,0.73049166
Marc,Staal,NYR,CA,D,0.730445117
Trevor,Daley,DET,CA,D,0.730121324
Phillip,Di Giuseppe,TOT,CA,LW,0.730079534
Joey,Anderson,NJD,US,RW,0.73000996
Adam,Cracknell,DAL,CA,RW,0.729668562
Colby,Cave,TOT,CA,C,0.729542452
Torrey,Mitchell,TOT,CA,C,0.729380524
Nick,Schultz,PHI,CA,D,0.729376664
Erik,Gudbranson,TOT,CA,D,0.729242126
Nikita,Tryamkin,VAN,RU,D,0.729201727
Nikolay,Goldobin,VAN,RU,LW,0.728714224
Brett,Ritchie,DAL,CA,RW,0.728646179
John-Michael,Liles,BOS,US,D,0.72857716
Tommy,Wingels,TOT,US,C,0.728001844
Tomas,Jurco,CHI,CS,RW,0.727594739
Mason,Appleton,WPG,US,C,0.727569569
Slater,Koekkoek,TOT,CA,D,0.727491023
Lukas,Sedlak,CBJ,CZ,C,0.727350558
Michael,Sgarbossa,TOT,CA,C,0.72716243
Juuso,Riikola,PIT,FI,D,0.727155947
Reid,Boucher,VAN,US,C,0.727137005
Brian,Flynn,MTL,US,RW,0.727129975
Brandon,Davidson,TOT,CA,D,0.726393421
Nick,Seeler,MIN,US,D,0.726048007
Jason,Chimera,TOT,CA,LW,0.72581698
Dale,Weise,TOT,CA,RW,0.725561415
Tom,Kuhnhackl,NYI,DE,RW,0.725450757
Brendan,Gaunce,VAN,CA,C,0.725438017
Egor,Yakovlev,NJD,RU,D,0.725315979
Derek,MacKenzie,FLA,CA,C,0.725004512
Ilya,Lyubushkin,ARI,RU,D,0.724817751
Jesse,Puljujarvi,EDM,SE,RW,0.724793484
Drew,Stafford,NJD,US,RW,0.724185734
Lauri,Korpikoski,TOT,FI,LW,0.724103436
Marek,Hrivik,NYR,CS,LW,0.723988746
Ryan,Sproul,NYR,CA,D,0.723692039
Oscar,Fantenberg,TOT,SE,D,0.723679179
Marko,Dano,WPG,AT,C,0.723167765
Mike,Reilly,MTL,US,D,0.722985594
Kevin,Bieksa,ANA,CA,D,0.722912782
Derrick,Pouliot,VAN,CA,D,0.722912685
Brendan,Lemieux,TOT,US,LW,0.722811468
Jakob,Forsbacka Karlsson,BOS,SE,C,0.722803443
Stephen,Gionta,NYI,US,C,0.722294846
Andrej,Sustr,TBL,CS,D,0.72206944
John,Hayden,CHI,US,C,0.721288993
Chris,VandeVelde,PHI,US,C,0.720982221
Gustav,Forsling,CHI,SE,D,0.720557696
Alexander,Nylander,BUF,CA,LW,0.720506376
Kevin,Roy,ANA,CA,C,0.720166832
Yohann,Auvitu,EDM,FR,D,0.71975818
Alan,Quine,CGY,CA,C,0.719660844
Matt,Hunwick,BUF,US,D,0.719628117
Igor,Ozhiganov,TOR,RU,D,0.719562215
Jiri,Hudler,DAL,CS,RW,0.719533661
Dwight,King,TOT,CA,LW,0.719333455
Jonathan,Ericsson,DET,SE,D,0.719158002
Frederik,Gauthier,TOR,CA,C,0.718600701
Jordan,Szwarz,BOS,CA,RW,0.718516614
Kiefer,Sherwood,ANA,US,RW,0.71834276
Mario,Kempe,ARI,SE,C,0.718206252
Josh,Gorges,BUF,CA,D,0.718118026
Korbinian,Holzer,ANA,DE,D,0.718086437
Steven,Kampfer,BOS,US,D,0.718077236
Matt,Hendricks,TOT,US,C,0.717832988
Luke,Schenn,TOT,CA,D,0.717819559
Casey,Nelson,BUF,US,D,0.717441582
Michal,Rozsival,CHI,CS,D,0.717372308
J.T.,Brown,MIN,US,RW,0.717091446
Anton,Blidh,BOS,SE,LW,0.716884946
Scott,Harrington,CBJ,CA,D,0.716443739
Markus,Hannikainen,CBJ,FI,LW,0.716364605
Valeri,Nichushkin,DAL,RU,RW,0.716325974
Matt,Luff,LAK,CA,RW,0.716084923
Nail,Yakupov,COL,RU,RW,0.715849595
Samuel,Blais,STL,CA,LW,0.71584121
Alexander,Burmistrov,VAN,RU,C,0.715118967
Benoit,Pouliot,BUF,CA,LW,0.714682124
Christian,Jaros,OTT,SK,D,0.714394121
Jack,Skille,VAN,US,RW,0.714260913
Saku,Maenalanen,CAR,FI,RW,0.714191854
Josh,Mahura,ANA,CA,D,0.713834503
Victor,Antipin,BUF,KZ,D,0.713832004
Jake,Dotchin,ANA,CA,D,0.713753294
Taylor,Chorney,TOT,CA,D,0.713382481
Joakim,Nordstrom,BOS,SE,C,0.712970368
Dmitry,Kulikov,WPG,RU,D,0.712844346
Nikita,Scherbak,MTL,RU,RW,0.712663423
Matthew,Highmore,CHI,CA,LW,0.712625763
Greg,McKegg,CAR,CA,C,0.712584405
Tanner,Fritz,NYI,CA,C,0.712472177
Haydn,Fleury,CAR,CA,D,0.712171746
Kyle,Quincey,MIN,CA,D,0.711801461
Jacob,Larsson,ANA,SE,D,0.711657526
Nate,Thompson,TOT,US,C,0.711602849
Michael,Amadio,LAK,CA,C,0.711348833
Matt,Greene,LAK,US,D,0.711334579
Darren,Archibald,TOT,CA,RW,0.711312392
Christian,Djoos,WSH,SE,D,0.711312035
C.J.,Smith,BUF,US,LW,0.710801169
Sebastian,Aho,NYI,SE,D,0.710581837
Dalton,Prout,CGY,CA,D,0.710550433
Devante,Smith-Pelly,WSH,CA,RW,0.710455257
Cody,Goloubef,COL,CA,D,0.710218189
Kevin,Gravel,EDM,US,D,0.709578844
Patrick,Wiercioch,COL,CA,D,0.709425456
John,Gilmour,NYR,CA,D,0.70897832
Justin,Dowling,DAL,CA,C,0.708958277
Shane,Harper,FLA,US,RW,0.708911192
Madison,Bowey,TOT,CA,D,0.708445903
Joel,Hanley,DAL,CA,D,0.70819894
Philip,Larsen,VAN,DK,D,0.708102247
Matt,Puempel,TOT,CA,LW,0.707776164
Max,Jones,ANA,US,LW,0.707238289
Shawn,Matthias,WPG,CA,C,0.706959958
Justin,Falk,BUF,CA,D,0.706608803
Gemel,Smith,TOT,CA,C,0.706509543
Juho,Lammikko,FLA,FI,RW,0.706394837
Michael,Chaput,MTL,CA,C,0.706274805
Valentin,Zykov,TOT,RU,LW,0.706140961
Josh,Jooris,TOT,CA,C,0.70520869
Klas,Dahlbeck,CAR,SE,D,0.705198335
Matthew,Peca,MTL,CA,C,0.704819345
Nicolas,Deslauriers,MTL,CA,LW,0.704754718
Anders,Bjork,BOS,US,LW,0.704537046
Ashton,Sautner,VAN,CA,D,0.704498087
Andreas,Martinsen,CHI,NO,LW,0.7044838
Matt,Read,MIN,CA,RW,0.704447761
Mark,Barberio,COL,CA,D,0.703864755
Nate,Prosser,MIN,US,D,0.703715525
Mackenzie,MacEachern,STL,US,LW,0.70318163
Julius,Honka,DAL,FI,D,0.703163403
Joseph,Morrow,WPG,CA,D,0.702865566
Steve,Ott,TOT,CA,C,0.702799043
Jaycob,Megna,ANA,US,D,0.701942653
Chris,Stewart,TOT,CA,RW,0.701753409
Kailer,Yamamoto,EDM,US,RW,0.701734609
Jeremy,Lauzon,BOS,CA,D,0.701398205
Chandler,Stephenson,WSH,CA,C,0.700635856
Curtis,Lazar,CGY,CA,C,0.699296914
Casey,Mittelstadt,BUF,US,C,0.699036066
Laurent,Dauphin,ARI,CA,C,0.698870915
Ryan,Murphy,MIN,CA,D,0.698588953
Max,Veronneau,OTT,CA,RW,0.698182723
Ethan,Bear,EDM,CA,D,0.698122057
Jacob,de La Rose,DET,SE,LW,0.6979915
Daniel,O'Regan,TOT,DE,C,0.697811127
Roman,Lyubimov,PHI,RU,LW,0.697560847
Juuso,Valimaki,CGY,FI,D,0.697535402
Gabriel,Carlsson,CBJ,SE,D,0.697242333
Jimmy,Hayes,NJD,US,RW,0.696715859
Oliver,Kylington,CGY,SE,D,0.696553261
Andrew,Agozzino,COL,CA,LW,0.696539743
Jori,Lehtera,PHI,FI,C,0.696324089
Logan,Shaw,TOT,CA,RW,0.696196021
Iiro,Pakarinen,EDM,FI,RW,0.696050915
Zac,Rinaldo,NSH,CA,C,0.69602757
Jonny,Brodzinski,LAK,US,C,0.695916115
Tage,Thompson,BUF,US,C,0.695839287
Jayson,Megna,VAN,US,C,0.695335699
Dennis,Rasmussen,ANA,SE,C,0.695058111
Maxim,Mamin,FLA,RU,C,0.695045644
Brett,Seney,NJD,CA,LW,0.694479975
Tanner,Glass,CGY,CA,LW,0.694477608
Andy,Welinski,ANA,US,D,0.6941353
Ben,Smith,TOT,US,RW,0.693300775
Gabriel,Dumont,TOT,CA,C,0.693097164
Martin,Frk,DET,CZ,RW,0.692842683
Remi,Elie,BUF,CA,LW,0.69213639
Mark,Stuart,WPG,US,D,0.691804229
Zach,Trotman,PIT,US,D,0.691064045
Drew,Miller,DET,US,LW,0.690949654
Paul,Carey,NYR,US,C,0.690388097
Taylor,Leier,PHI,CA,LW,0.689837084
Filip,Chlapik,OTT,CZ,C,0.688868734
Micheal,Haley,TOT,CA,C,0.688386845
John,Quenneville,NJD,CA,C,0.688206235
Gabriel,Bourque,COL,CA,LW,0.68816385
Tucker,Poolman,WPG,US,D,0.68791492
Clark,Bishop,CAR,CA,C,0.687888444
Josh,Brown,FLA,CA,D,0.687830994
Jakub,Kindl,FLA,CS,D,0.687730732
Andy,Andreoff,LAK,CA,LW,0.687613271
Frederick,Gaudreau,NSH,CA,C,0.687348581
Sheldon,Dries,COL,US,C,0.686832983
Joel,Vermin,TBL,CH,RW,0.686115896
Brett,Lernout,MTL,CA,D,0.685656617
Rob,O'Gara,TOT,US,D,0.685578288
Shane,Prince,NYI,US,C,0.684959953
Yannick,Weber,NSH,CH,D,0.684558609
Jacob,Josefson,BUF,SE,C,0.684452994
Jason,Garrison,EDM,CA,D,0.684263771
Joel,L'Esperance,DAL,US,RW,0.684176164
Vinni,Lettieri,NYR,US,C,0.684166446
John,Mitchell,COL,CA,C,0.684066511
Jyrki,Jokipakka,TOT,FI,D,0.68211834
Michael,McCarron,MTL,US,RW,0.681958215
Nicholas,Baptiste,BUF,CA,RW,0.681179692
Sergey,Kalinin,NJD,RU,C,0.68110674
Christoffer,Ehn,DET,SE,C,0.680979069
Anton,Lindholm,COL,SE,D,0.680871245
Denis,Gurianov,DAL,RU,RW,0.680489749
Ian,McCoshen,FLA,US,D,0.679972621
Peter,Holland,NYR,CA,C,0.679459015
Seth,Griffith,BUF,CA,C,0.678384853
Chris,Thorburn,STL,CA,RW,0.678141562
Matt,Bartkowski,CGY,US,D,0.677754752
Andrew,Desjardins,CHI,CA,C,0.677753358
Jay,McClement,CAR,CA,C,0.677677944
Joseph,Cramarossa,TOT,CA,C,0.67741899
Dillon,Dube,CGY,CA,C,0.677121111
Tom,Pyatt,OTT,CA,C,0.677060933
Nikita,Soshnikov,TOT,RU,RW,0.675905703
Joseph,Gambardella,EDM,US,C,0.674566752
Anthony,Bitetto,TOT,US,D,0.674466088
Nic,Petan,TOT,CA,C,0.674151308
Kurtis,MacDermid,LAK,CA,D,0.673707469
Adam,Gaudette,VAN,US,C,0.672957422
Ben,Street,ANA,CA,C,0.672875247
Jordan,Schroeder,CBJ,US,C,0.672730469
Ben,Harpur,OTT,CA,D,0.672107865
Kyle,Rau,FLA,US,C,0.671771119
A.J.,Greer,COL,CA,LW,0.671444329
Vladislav,Kamenev,COL,RU,LW,0.67092552
Justin,Bailey,PHI,US,RW,0.67089834
Paul,Postma,BOS,CA,D,0.670759322
Michael,McLeod,NJD,CA,C,0.670708746
Lias,Andersson,NYR,SE,C,0.670195203
Drew,Shore,VAN,US,C,0.6699302
Jordin,Tootoo,CHI,CA,RW,0.669738458
Eric,Robinson,CBJ,US,LW,0.66899242
Rourke,Chartier,SJS,CA,C,0.668526201
Freddie,Hamilton,TOT,CA,C,0.666916508
Robbie,Russo,DET,US,D,0.665128713
Vernon,Fiddler,TOT,CA,C,0.665043771
Ryan,Garbutt,ANA,CA,C,0.664692502
Corban,Knight,PHI,CA,C,0.664496826
Philippe,Myers,PHI,CA,D,0.663508502
Paul,Thompson,FLA,US,RW,0.663397791
Matt,Moulson,BUF,CA,LW,0.663386319
Matt,Beleskey,TOT,CA,LW,0.662644476
Luke,Witkowski,DET,US,D,0.662075539
Bryan,Bickell,CAR,CA,LW,0.661750917
Sami,Niku,WPG,FI,D,0.661356493
Phil,Varone,PHI,CA,C,0.660749889
Joe,Colborne,COL,CA,C,0.657771194
Harry,Zolnierczyk,NSH,CA,LW,0.65373734
Brad,Malone,EDM,CA,C,0.652861862
Tyler,Graovac,MIN,CA,C,0.652312359
Dominic,Toninato,COL,US,C,0.65127825
Teddy,Purcell,LAK,CA,RW,0.650904754
Max,McCormick,OTT,US,LW,0.650303547
Matt,Tennyson,BUF,US,D,0.650091312
Joe,Hicketts,DET,CA,D,0.647892143
Jordan,Kyrou,STL,CA,C,0.647381178
Nick,Paul,OTT,CA,LW,0.647252687
Chris,Neil,OTT,CA,RW,0.646091478
Luke,Johnson,CHI,US,C,0.645800772
Chris,Kelly,ANA,CA,C,0.645444639
Kurtis,Gabriel,NJD,CA,RW,0.64518517
Brooks,Laich,LAK,CA,C,0.644948944
Zack,Mitchell,MIN,CA,RW,0.64382543
Blake,Pietila,NJD,US,LW,0.642731556
Isac,Lundestrom,ANA,SE,C,0.641916479
Mark,Alt,TOT,US,D,0.640945293
Justin,Holl,TOR,US,D,0.640077547
Tom,Sestito,PIT,US,LW,0.639805379
Jordan,Schmaltz,STL,US,D,0.638064586
David,Booth,DET,US,LW,0.637341629
Eric,Gelinas,COL,CA,D,0.63706145
Teemu,Pulkkinen,TOT,FI,RW,0.636026879
Nick,Lappin,NJD,US,RW,0.63492208
Cody,McLeod,TOT,CA,LW,0.633375899
Wade,Megan,DET,US,C,0.631438901
Chris,Bigras,COL,CA,D,0.629393544
Mikhail,Vorobyev,PHI,RU,C,0.624696966
Trent,Frederic,BOS,US,C,0.622758445
Shawn,Thornton,FLA,CA,RW,0.622281133
Zac,Dalpe,CBJ,CA,RW,0.616009624
Erik,Condra,TBL,US,RW,0.613707181
Patrick,Brown,CAR,US,C,0.611426495
Boyd,Gordon,PHI,CA,C,0.607215502
Jared,Boll,ANA,US,RW,0.603348067
Cal,O'Reilly,BUF,CA,C,0.598047509
Joseph,Labate,VAN,US,C,0.593728562
Luke,Gazdic,NJD,CA,LW,0.585374838
